Date,COPX,CQQQ,EWZ,GLD,ITA,NLR,PAVE,QQQM,SLV,SMH,TLT,VNM,XLE,XLU,RP,INDA
2025-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025-01-14,0.0,0.0,0.0,0.524766,0.274431,0.066934,0.0,0.0,0.066934,0.066934,0.0,0.0,0.0,0.0,1e-06,0.0
2025-01-15,0.0,0.0,0.0,0.524766,0.274431,0.066934,0.0,0.0,0.066934,0.066934,0.0,0.0,0.0,0.0,1e-06,0.0
2025-01-16,0.0,0.0,0.0,0.549483,0.302806,0.073855,0.0,0.0,0.0,0.073855,0.0,0.0,0.0,0.0,1e-06,0.0
2025-01-17,0.0,0.0,0.0,0.549483,0.302806,0.073855,0.0,0.0,0.0,0.073855,0.0,0.0,0.0,0.0,1e-06,0.0
2025-01-20,0.0,0.0,0.0,0.549483,0.302806,0.073855,0.0,0.0,0.0,0.073855,0.0,0.0,0.0,0.0,1e-06,0.0
2025-01-21,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-23,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-24,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-27,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-28,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-29,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-30,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-31,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-04,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-05,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-06,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-07,0.0,0.0,0.0,0.440215,0.177366,0.04326,0.0,0.0,0.295899,0.04326,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-10,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-11,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-13,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-14,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-17,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-18,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-19,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-20,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-21,0.0,0.0,0.0,0.440215,0.177366,0.04326,0.0,0.0,0.295899,0.04326,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-24,0.0,0.0,0.0,0.440215,0.177366,0.04326,0.0,0.0,0.295899,0.04326,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-25,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-26,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-27,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-28,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-06,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-07,0.0,0.0,0.0,0.487035,0.231116,0.05637,0.0,0.0,0.169109,0.05637,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-10,0.0,0.0,0.0,0.440215,0.177366,0.04326,0.0,0.0,0.295899,0.04326,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-11,0.0,0.0,0.0,0.440215,0.177366,0.04326,0.0,0.0,0.295899,0.04326,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-12,0.0,0.0,0.0,0.440215,0.177366,0.04326,0.0,0.0,0.295899,0.04326,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-13,0.229616,0.0,0.0,0.42518,0.0,0.03905,0.0,0.0,0.267104,0.03905,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-14,0.229616,0.0,0.0,0.42518,0.0,0.03905,0.0,0.0,0.267104,0.03905,0.0,0.0,0.0,0.0,0.0,0.0
