Date,LME_Cu_stock,LME_Cu_cash,LME_Cu_3mo,LME_Cu_spread,LME_Cu_source
2008-01-02,198925.0,6666.0,6706.0,-40.0,WESTMETALL_LME
2008-01-03,198175.0,6765.0,6818.0,-53.0,WESTMETALL_LME
2008-01-04,198600.0,6990.5,7035.0,-44.5,WESTMETALL_LME
2008-01-07,201000.0,6915.5,6950.5,-35.0,WESTMETALL_LME
2008-01-08,200975.0,7106.0,7140.5,-34.5,WESTMETALL_LME
2008-01-09,200750.0,7351.0,7370.5,-19.5,WESTMETALL_LME
2008-01-10,199650.0,7120.5,7135.0,-14.5,WESTMETALL_LME
2008-01-11,199275.0,7196.0,7220.0,-24.0,WESTMETALL_LME
2008-01-14,198600.0,7361.0,7390.5,-29.5,WESTMETALL_LME
2008-01-15,194100.0,7225.5,7251.0,-25.5,WESTMETALL_LME
2008-01-16,191050.0,7020.0,7022.0,-2.0,WESTMETALL_LME
2008-01-17,185550.0,7121.5,7125.5,-4.0,WESTMETALL_LME
2008-01-18,183225.0,7062.0,7055.0,7.0,WESTMETALL_LME
2008-01-21,180900.0,6910.0,6895.0,15.0,WESTMETALL_LME
2008-01-22,178850.0,6920.0,6850.0,70.0,WESTMETALL_LME
2008-01-23,176175.0,7000.5,6980.0,20.5,WESTMETALL_LME
2008-01-24,174300.0,7092.0,7070.0,22.0,WESTMETALL_LME
2008-01-25,172775.0,7120.0,7126.0,-6.0,WESTMETALL_LME
2008-01-28,171675.0,6893.0,6910.0,-17.0,WESTMETALL_LME
2008-01-29,171275.0,7171.0,7179.0,-8.0,WESTMETALL_LME
2008-01-30,170650.0,7165.0,7190.0,-25.0,WESTMETALL_LME
2008-01-31,178775.0,7170.5,7170.0,0.5,WESTMETALL_LME
2008-02-01,177800.0,7345.0,7339.0,6.0,WESTMETALL_LME
2008-02-04,177050.0,7295.0,7295.0,0.0,WESTMETALL_LME
2008-02-05,174775.0,7202.0,7225.0,-23.0,WESTMETALL_LME
2008-02-06,171975.0,7181.0,7190.0,-9.0,WESTMETALL_LME
2008-02-07,171975.0,7350.0,7360.0,-10.0,WESTMETALL_LME
2008-02-08,169475.0,7612.0,7560.0,52.0,WESTMETALL_LME
2008-02-11,164125.0,7820.5,7790.0,30.5,WESTMETALL_LME
2008-02-12,159725.0,7805.0,7800.0,5.0,WESTMETALL_LME
2008-02-13,157600.0,7680.5,7656.0,24.5,WESTMETALL_LME
2008-02-14,154650.0,7776.0,7766.5,9.5,WESTMETALL_LME
2008-02-15,150650.0,7801.0,7781.0,20.0,WESTMETALL_LME
2008-02-18,144375.0,7945.0,7920.0,25.0,WESTMETALL_LME
2008-02-19,140350.0,8080.0,8040.0,40.0,WESTMETALL_LME
2008-02-20,135375.0,8101.0,8050.0,51.0,WESTMETALL_LME
2008-02-21,135375.0,8281.0,8241.0,40.0,WESTMETALL_LME
