date,queue,grade,slots_full,strong,super,spy_close,fwd21_pct,fwd63_pct,pos_src
2026-08-14,0,0,True,,,776.34,,,ledger
2026-08-17,0,0,True,,,772.67,,,ledger
2026-08-18,0,0,True,,,767.45,,,ledger
2026-08-19,0,0,True,,,769.06,,,ledger
2026-08-20,1,1,False,SLV:11.0,SLV,762.6,,,ledger
2026-08-21,1,1,False,SLV:11.0,SLV,765.72,,,ledger
2026-08-24,1,1,False,SLV:11.0,SLV,763.47,,,ledger
2026-08-25,1,1,False,SLV:11.0,SLV,765.91,,,ledger
2026-08-26,0,0,True,,,766.08,,,ledger
2026-08-27,0,0,True,,,771.1,,,ledger
2026-08-31,0,0,True,,,767.05,,,ledger
2026-09-01,1,1,False,PAVE:6.7,,761.78,,,ledger
2026-09-02,0,0,False,,,765.16,,,ledger
2026-09-03,0,0,False,,,773.17,,,ledger
2026-09-04,0,0,False,,,770.19,,,ledger
2026-09-08,3,3+,False,SLV:11.0|ITA:4.0|TLT:4.55,ITA|SLV,765.96,,,ledger
2026-09-09,4,3+,False,SLV:11.0|ITA:4.0|TLT:4.55|XLE:3.9,ITA|SLV,762.4,,,ledger
