date,oracle_cum_ret,prima_cum_ret,spy_cum_ret,oracle_minus_prima,window_days
2026-06-12,0.0,0.0,0.0,0.0,0
2026-06-15,0.0258,0.0092,0.0176,0.0166,3
2026-06-16,0.0184,0.0094,0.0116,0.0091,4
2026-06-17,0.0078,-0.0075,-0.0011,0.0154,5
2026-06-18,0.02,-0.015,0.0093,0.035,6
2026-06-19,0.02,-0.015,0.0093,0.035,7
2026-06-22,0.0188,-0.0211,0.0061,0.0399,10
2026-06-23,0.015,-0.0395,-0.0085,0.0545,11
2026-06-24,0.0091,-0.0674,-0.0089,0.0764,12
2026-06-25,0.011,-0.0588,-0.0075,0.0698,13
2026-06-26,0.0134,-0.05,-0.0147,0.0633,14
2026-06-29,0.0109,-0.0576,0.0016,0.0685,17
2026-06-30,0.0108,-0.0543,0.0094,0.0651,18
2026-07-01,0.0122,-0.0513,0.008,0.0635,19
2026-07-02,0.0165,-0.0333,0.0067,0.0498,20
2026-07-03,0.0165,-0.0333,0.0067,0.0498,21
2026-07-06,0.0295,-0.0222,0.0155,0.0517,24
2026-07-07,0.0044,-0.0357,0.0106,0.0401,25
2026-07-08,0.0016,-0.0483,0.0075,0.0499,26
2026-07-09,0.0169,-0.0379,0.016,0.0548,27
2026-07-10,0.0207,-0.038,0.0204,0.0587,28
2026-07-13,-0.0023,-0.0624,0.0126,0.0602,31
2026-07-14,0.0156,-0.0485,0.0162,0.0641,32
2026-07-15,0.0073,-0.0533,0.0202,0.0606,33
2026-07-16,-0.013,-0.0731,0.0147,0.0601,34
2026-07-17,-0.0203,-0.069,0.0047,0.0487,35
2026-07-20,-0.0196,-0.0715,0.003,0.0519,38
2026-07-21,0.0062,-0.0561,0.0114,0.0623,39
2026-07-22,0.0171,-0.0444,0.0102,0.0615,40
2026-07-23,0.0089,-0.0556,-0.0022,0.0646,41
2026-07-24,-0.0017,-0.0561,-0.0012,0.0544,42
2026-07-27,-0.002,-0.0513,-0.001,0.0493,45
2026-07-29,-0.0352,-0.068,-0.014,0.0329,47
2026-07-30,-0.0052,-0.0501,0.0025,0.045,48
2026-07-31,-0.0099,-0.058,0.0097,0.0481,49
2026-08-03,0.0014,-0.0559,0.0241,0.0574,52
2026-08-04,0.0264,-0.0569,0.0426,0.0833,53
